sim_index,success,n_nodes,n_elems,coverage_percent,almen_MPa,V,D_mm,n_shots,pattern_mode,elapsed_s,error
250,True,2601,2500,82.64287373703442,-2906.526976,32.13851004813807,0.7587610071070062,84,bimodal,3.5443198999855667,
251,True,2601,2500,61.3945232771508,-3272.137984,44.28624604209146,0.9212613408650183,26,bimodal,1.0545880000572652,
252,True,2601,2500,26.309560926336307,-2779.45344,44.692673738950774,0.6662321435846261,25,gradient,1.1548561999807134,
253,True,2601,2500,89.73240725492444,-3801.587968,33.92762971471649,0.7452760041450814,108,random,4.670848400040995,
254,True,2601,2500,29.195670813824705,-1731.157248,40.55653142746925,0.6663543780408528,30,uniform,1.2473142000380903,
255,True,2601,2500,74.63341471400773,-4240.758272,53.29962611225489,0.6344705665593847,102,gradient,4.095963500032667,
256,True,2601,2500,51.80534835766697,-2204.781312,50.059384390596975,0.992455932980632,27,gradient,1.0500885000219569,
257,True,2601,2500,61.55686114656134,-2940.096768,51.140954870834804,0.8913275071664923,32,sparse,1.3955772000481375,
258,True,2601,2500,56.543688710971395,-2477.79456,37.294317157388235,0.914430864055383,42,uniform,1.8663148999912664,
259,True,2601,2500,42.29745577645978,-1996.23872,45.990569197362305,0.6754886659843393,38,random,1.6603804000187665,
260,True,2601,2500,42.97388199563497,-2089.909376,57.604027109484434,0.7845239911140464,24,uniform,0.6785289000254124,
261,True,2601,2500,40.407635588605714,-1757.153536,37.022968525251244,0.698075186995481,49,uniform,1.4081359999836423,
262,True,2601,2500,82.57567092251197,-3808.89472,54.41950992357989,0.713034929039963,108,random,3.4581083999946713,
263,True,2601,2500,35.8288540724286,-2406.71232,36.80469182306295,0.3828085225754027,73,gradient,2.0916141999769025,
264,True,2601,2500,79.78188262017927,-2929.499904,38.27038166324984,0.6336298936694736,120,uniform,3.779944500012789,
265,True,2601,2500,13.55745738800531,-1617.968768,36.04438822860817,0.3625353530928312,50,random,1.7078639999963343,
266,True,2601,2500,18.218930983721236,-1516.687488,32.18931185523799,0.6225313455902574,28,bimodal,1.0138730999897234,
267,True,2601,2500,17.195283691319375,-1642.127744,45.235537257981406,0.5705467895949906,21,uniform,0.7319433999946341,
268,True,2601,2500,61.74523627402104,-2722.988288,58.69421351782893,0.6666242926242407,64,gradient,2.515582300024107,
269,True,2601,2500,46.730358075959856,-2541.23392,35.87320335266917,0.6129773269145216,49,sparse,1.7136461000191048,
270,True,2601,2500,87.08941187416343,-3955.119616,38.601126688353354,0.8872522821972255,87,bimodal,3.231488800025545,
271,True,2601,2500,90.84354172999663,-3631.184896,52.36928271467269,0.8923793500455254,81,bimodal,2.756261500006076,
272,True,2601,2500,60.67542208060755,-3823.365888,40.19485541821394,0.5487408818667506,113,random,3.874680900014937,
273,True,2601,2500,43.30590565513999,-1981.866368,31.726415131668155,0.867448563192883,35,sparse,1.240609000029508,
274,True,2601,2500,35.187137048985875,-2370.553088,59.163492241260776,0.45990484077213795,44,sparse,1.62585490004858,
275,True,2601,2500,99.73011363082813,-6301.558272,57.372177066921466,0.8588197801133899,118,uniform,3.6370761999860406,
276,True,2601,2500,47.89586246974357,-3488.191488,53.7727431271871,0.3421504618097609,115,sparse,4.163967099972069,
277,True,2601,2500,39.94974601023006,-1964.617216,42.96787637608128,0.46962570406963167,67,uniform,2.3069962000008672,
278,True,2601,2500,54.51785342392126,-2526.104576,49.46958198407477,0.39150753824599505,113,gradient,3.6687952000065707,
279,True,2601,2500,59.29349758541383,-2003.613824,26.767870156350906,0.8977494321890827,38,uniform,1.1916136000072584,
280,True,2601,2500,90.2548489920478,-4139.974656,59.9145296620197,0.8096794899633021,94,random,3.252695099974517,
281,True,2601,2500,97.58801327862501,-5769.822208,40.54718533129728,0.9346766789624457,109,gradient,4.047859799989965,
282,True,2601,2500,31.376175415459397,-2184.328448,46.85851704026351,0.42313704293788956,69,random,2.1043202999862842,
283,True,2601,2500,35.85476852489514,-2266.999808,51.0975883376744,0.5240798817792363,40,uniform,1.3251990000135265,
284,True,2601,2500,15.012922540079465,-1484.664704,47.05522672355396,0.3127523814788272,50,sparse,1.9955689999624155,
285,True,2601,2500,12.20011468750759,-1048.112256,26.462128772599833,0.468886778879787,40,uniform,1.6055382000049576,
286,True,2601,2500,97.61147718691097,-4546.487296,39.96116902228405,0.8406439711256602,118,bimodal,5.028684600023553,
287,True,2601,2500,64.11057358621048,-2773.52576,54.79546230109471,0.7998410226408379,24,random,0.8615119000314735,
288,True,2601,2500,65.89949747036252,-3595.36384,50.66891273434648,0.5550800009345717,120,sparse,4.8952989000245,
289,True,2601,2500,29.791188367289845,-2721.811456,54.49888466817565,0.3673886120646124,53,bimodal,2.1048990999697708,
290,True,2601,2500,17.732012176089818,-1103.975296,38.74667115028819,0.4395613121620859,30,uniform,2.305677799973637,
291,True,2601,2500,38.641470870920294,-1842.521856,31.758232345287578,0.6376257528532584,59,uniform,2.57627630000934,
292,True,2601,2500,47.521339800960796,-1972.577792,50.61728815426498,0.7969926275164878,31,sparse,1.4004998999880627,
293,True,2601,2500,55.60045115378844,-1957.030272,49.22901310457557,0.8900741389176658,23,bimodal,1.0169375999830663,
294,True,2601,2500,75.56760285528806,-3350.41152,47.63577619195755,0.6756342321978764,94,bimodal,4.4018563000136055,
